"Region";"Alders gruppe";"Indl�ggelser"
;0-9;2
Hovedstaden;0-9;107
Midtjylland;0-9;22
Nordjylland;0-9;7
Sj�lland;0-9;18
Syddanmark;0-9;21
;10-19;0
Hovedstaden;10-19;87
Midtjylland;10-19;26
Nordjylland;10-19;8
Sj�lland;10-19;39
Syddanmark;10-19;17
;20-29;10
Hovedstaden;20-29;287
Midtjylland;20-29;77
Nordjylland;20-29;36
Sj�lland;20-29;76
Syddanmark;20-29;76
;30-39;21
Hovedstaden;30-39;464
Midtjylland;30-39;114
Nordjylland;30-39;39
Sj�lland;30-39;113
Syddanmark;30-39;96
;40-49;29
Hovedstaden;40-49;605
Midtjylland;40-49;183
Nordjylland;40-49;65
Sj�lland;40-49;218
Syddanmark;40-49;154
;50-59;41
Hovedstaden;50-59;929
Midtjylland;50-59;348
Nordjylland;50-59;107
Sj�lland;50-59;326
Syddanmark;50-59;259
;60-69;22
Hovedstaden;60-69;973
Midtjylland;60-69;321
Nordjylland;60-69;138
Sj�lland;60-69;379
Syddanmark;60-69;278
;70-79;10
Hovedstaden;70-79;1444
Midtjylland;70-79;445
Nordjylland;70-79;220
Sj�lland;70-79;552
Syddanmark;70-79;354
;80-89;5
Hovedstaden;80-89;1274
Midtjylland;80-89;310
Nordjylland;80-89;175
Sj�lland;80-89;455
Syddanmark;80-89;270
;90+;0
Hovedstaden;90+;386
Midtjylland;90+;78
Nordjylland;90+;38
Sj�lland;90+;131
Syddanmark;90+;59
